event_idx,group,head_id,rank,particle_idx,particle_activation_norm,pid,pt,charge,is_second_lepton_like,particle_role,best_lepton_idx,second_lepton_idx,nearest_hadron_to_best_lepton_idx,hardest_hadron_idx
15512,A_protected_highiso,L2_ch128:160,1,0,5.350985527038574,muon,232.9764404296875,-1.0,,particle0_best_lepton,0,,16,3
15512,A_protected_highiso,L2_ch128:160,2,1,2.5568089485168457,photon,77.5498275756836,0.0,,photon_neighbor,0,,16,3
15512,A_protected_highiso,L2_ch128:160,3,42,1.2304654121398926,photon,1.2676365375518799,0.0,,photon_neighbor,0,,16,3
15540,A_protected_highiso,L2_ch128:160,1,0,5.608467102050781,muon,272.0929260253906,1.0,,particle0_best_lepton,0,,3,2
15540,A_protected_highiso,L2_ch128:160,2,1,0.8225392699241638,photon,34.17088317871094,0.0,,photon_neighbor,0,,3,2
15540,A_protected_highiso,L2_ch128:160,3,25,0.7937158346176147,neutral_hadron,3.1866631507873535,0.0,,hadron_neighbor,0,,3,2
15590,A_protected_highiso,L2_ch128:160,1,0,6.546489715576172,muon,301.4415283203125,1.0,,particle0_best_lepton,0,2,19,1
15590,A_protected_highiso,L2_ch128:160,2,2,2.5485856533050537,muon,19.118396759033203,-1.0,,second_lepton,0,2,19,1
15590,A_protected_highiso,L2_ch128:160,3,1,1.862544059753418,charged_hadron,49.62342071533203,-1.0,,hardest_hadron,0,2,19,1
15684,A_protected_highiso,L2_ch128:160,1,0,6.563263416290283,electron,300.70977783203125,1.0,,particle0_best_lepton,0,,11,1
15684,A_protected_highiso,L2_ch128:160,2,2,1.0217729806900024,charged_hadron,14.967216491699219,-1.0,,hard_hadron,0,,11,1
15684,A_protected_highiso,L2_ch128:160,3,6,0.6489921808242798,charged_hadron,10.244695663452148,-1.0,,hard_hadron,0,,11,1
15800,A_protected_highiso,L2_ch128:160,1,0,5.298868179321289,electron,346.1005859375,1.0,,particle0_best_lepton,0,,8,1
15800,A_protected_highiso,L2_ch128:160,2,1,0.9139288663864136,charged_hadron,19.186485290527344,-1.0,,hardest_hadron,0,,8,1
15800,A_protected_highiso,L2_ch128:160,3,47,0.8843855261802673,charged_hadron,1.582804560661316,-1.0,,hadron_neighbor,0,,8,1
16360,A_protected_highiso,L2_ch128:160,1,0,6.380829334259033,muon,376.0852355957031,-1.0,,particle0_best_lepton,0,,12,4
16360,A_protected_highiso,L2_ch128:160,2,1,1.0743416547775269,photon,62.73597717285156,0.0,,photon_neighbor,0,,12,4
16360,A_protected_highiso,L2_ch128:160,3,4,0.872967541217804,charged_hadron,19.64999771118164,1.0,,hardest_hadron,0,,12,4
12649,B_confused_highiso,L2_ch128:160,1,0,9.012598991394043,muon,316.7471008300781,-1.0,,particle0_best_lepton,0,47,22,1
12649,B_confused_highiso,L2_ch128:160,2,47,1.404707908630371,muon,3.025986909866333,1.0,,second_lepton,0,47,22,1
12649,B_confused_highiso,L2_ch128:160,3,1,0.9154289364814758,charged_hadron,71.0254135131836,-1.0,,hardest_hadron,0,47,22,1
12982,B_confused_highiso,L2_ch128:160,1,0,6.0844268798828125,electron,225.74807739257812,-1.0,,particle0_best_lepton,0,,15,1
12982,B_confused_highiso,L2_ch128:160,2,15,0.8020182847976685,neutral_hadron,8.331151008605957,0.0,,nearest_hadron_to_best_lepton,0,,15,1
12982,B_confused_highiso,L2_ch128:160,3,14,0.6748086214065552,charged_hadron,8.977442741394043,-1.0,,hadron_neighbor,0,,15,1
13045,B_confused_highiso,L2_ch128:160,1,0,6.564153671264648,electron,331.1594543457031,-1.0,,particle0_best_lepton,0,2,15,1
13045,B_confused_highiso,L2_ch128:160,2,2,1.4655804634094238,muon,20.822223663330078,-1.0,,second_lepton,0,2,15,1
13045,B_confused_highiso,L2_ch128:160,3,1,1.2876967191696167,charged_hadron,30.480703353881836,1.0,,hardest_hadron,0,2,15,1
13583,B_confused_highiso,L2_ch128:160,1,0,7.546173095703125,electron,444.0295715332031,1.0,,particle0_best_lepton,0,14,4,2
13583,B_confused_highiso,L2_ch128:160,2,30,2.113520860671997,electron,2.350341796875,-1.0,,other_lepton,0,14,4,2
13583,B_confused_highiso,L2_ch128:160,3,3,1.8039093017578125,charged_hadron,23.86808204650879,-1.0,,hard_hadron,0,14,4,2
13787,B_confused_highiso,L2_ch128:160,1,0,6.344688415527344,electron,226.40545654296875,-1.0,,particle0_best_lepton,0,,19,1
13787,B_confused_highiso,L2_ch128:160,2,35,1.8076846599578857,photon,1.6093707084655762,0.0,,photon_neighbor,0,,19,1
13787,B_confused_highiso,L2_ch128:160,3,24,1.438409447669983,charged_hadron,3.4226205348968506,1.0,,hadron_neighbor,0,,19,1
13997,B_confused_highiso,L2_ch128:160,1,0,8.289461135864258,muon,247.4871368408203,-1.0,,particle0_best_lepton,0,,18,1
13997,B_confused_highiso,L2_ch128:160,2,36,0.9570569396018982,charged_hadron,1.5749415159225464,-1.0,,hadron_neighbor,0,,18,1
13997,B_confused_highiso,L2_ch128:160,3,18,0.9555192589759827,charged_hadron,4.5394110679626465,1.0,,nearest_hadron_to_best_lepton,0,,18,1
14711,B_confused_highiso,L2_ch128:160,1,0,8.227168083190918,muon,132.4909210205078,1.0,,particle0_best_lepton,0,66,45,1
14711,B_confused_highiso,L2_ch128:160,2,1,2.015805244445801,charged_hadron,40.551177978515625,-1.0,,hardest_hadron,0,66,45,1
14711,B_confused_highiso,L2_ch128:160,3,3,1.2658461332321167,charged_hadron,21.010746002197266,1.0,,hard_hadron,0,66,45,1
15288,B_confused_highiso,L2_ch128:160,1,0,6.091553688049316,electron,429.5041198730469,-1.0,,particle0_best_lepton,0,,31,1
15288,B_confused_highiso,L2_ch128:160,2,3,0.5317695140838623,charged_hadron,10.24519157409668,1.0,,hard_hadron,0,,31,1
15288,B_confused_highiso,L2_ch128:160,3,6,0.4607488811016083,neutral_hadron,7.264493942260742,0.0,,hard_hadron,0,,31,1
15528,B_confused_highiso,L2_ch128:160,1,3,5.9287309646606445,electron,23.16946792602539,-1.0,,best_lepton,3,15,33,1
15528,B_confused_highiso,L2_ch128:160,2,0,1.6803498268127441,photon,468.97296142578125,0.0,,particle0,3,15,33,1
15528,B_confused_highiso,L2_ch128:160,3,15,1.2881066799163818,electron,7.784639358520508,1.0,,second_lepton,3,15,33,1
15658,B_confused_highiso,L2_ch128:160,1,0,7.631208896636963,electron,94.5487289428711,1.0,,particle0_best_lepton,0,5,43,1
15658,B_confused_highiso,L2_ch128:160,2,5,1.4201377630233765,muon,16.095420837402344,-1.0,,second_lepton,0,5,43,1
15658,B_confused_highiso,L2_ch128:160,3,2,1.107131838798523,charged_hadron,22.265399932861328,-1.0,,hard_hadron,0,5,43,1
15893,B_confused_highiso,L2_ch128:160,1,0,7.816365718841553,electron,297.3345947265625,-1.0,,particle0_best_lepton,0,,24,1
15893,B_confused_highiso,L2_ch128:160,2,23,1.4015874862670898,charged_hadron,5.147664546966553,1.0,,hadron_neighbor,0,,24,1
15893,B_confused_highiso,L2_ch128:160,3,3,0.9018133878707886,charged_hadron,38.2039680480957,-1.0,,hard_hadron,0,,24,1
20480,C_Tbl_correct,L2_ch128:160,1,0,6.701056957244873,muon,186.00991821289062,-1.0,,particle0_best_lepton,0,,11,1
20480,C_Tbl_correct,L2_ch128:160,2,11,1.8772614002227783,charged_hadron,5.885776042938232,-1.0,,nearest_hadron_to_best_lepton,0,,11,1
20480,C_Tbl_correct,L2_ch128:160,3,1,1.5411064624786377,charged_hadron,92.15662384033203,1.0,,hardest_hadron,0,,11,1
20481,C_Tbl_correct,L2_ch128:160,1,0,7.2111592292785645,muon,498.7115783691406,1.0,,particle0_best_lepton,0,1,19,2
20481,C_Tbl_correct,L2_ch128:160,2,1,2.4267139434814453,muon,81.7923355102539,-1.0,,second_lepton,0,1,19,2
20481,C_Tbl_correct,L2_ch128:160,3,19,1.1566437482833862,charged_hadron,3.744546890258789,-1.0,,nearest_hadron_to_best_lepton,0,1,19,2
20482,C_Tbl_correct,L2_ch128:160,1,2,4.702112674713135,muon,85.50410461425781,-1.0,,second_lepton,0,2,5,1
20482,C_Tbl_correct,L2_ch128:160,2,0,1.6053028106689453,muon,123.67266082763672,-1.0,,particle0_best_lepton,0,2,5,1
20482,C_Tbl_correct,L2_ch128:160,3,4,1.5015203952789307,neutral_hadron,37.865928649902344,0.0,,hard_hadron,0,2,5,1
20483,C_Tbl_correct,L2_ch128:160,1,0,7.308244228363037,muon,391.753173828125,1.0,,particle0_best_lepton,0,,16,1
20483,C_Tbl_correct,L2_ch128:160,2,7,0.6680480241775513,charged_hadron,6.617679119110107,1.0,,hadron_neighbor,0,,16,1
20483,C_Tbl_correct,L2_ch128:160,3,15,0.5230698585510254,charged_hadron,3.157111167907715,-1.0,,hadron_neighbor,0,,16,1
20484,C_Tbl_correct,L2_ch128:160,1,0,4.706246852874756,electron,107.00715637207031,1.0,,particle0_best_lepton,0,3,11,4
20484,C_Tbl_correct,L2_ch128:160,2,24,1.3227413892745972,photon,4.55971622467041,0.0,,photon_neighbor,0,3,11,4
20484,C_Tbl_correct,L2_ch128:160,3,3,1.305303692817688,muon,37.70759582519531,1.0,,second_lepton,0,3,11,4
20485,C_Tbl_correct,L2_ch128:160,1,0,4.354439735412598,electron,118.92376708984375,1.0,,particle0_best_lepton,0,6,15,1
20485,C_Tbl_correct,L2_ch128:160,2,2,0.7730140686035156,charged_hadron,79.1214370727539,-1.0,,hard_hadron,0,6,15,1
20485,C_Tbl_correct,L2_ch128:160,3,1,0.7674258351325989,charged_hadron,85.56236267089844,-1.0,,hardest_hadron,0,6,15,1
20486,C_Tbl_correct,L2_ch128:160,1,1,4.744015216827393,muon,79.0703353881836,1.0,,best_lepton,1,,15,0
20486,C_Tbl_correct,L2_ch128:160,2,3,0.49690482020378113,charged_hadron,29.53087615966797,-1.0,,hard_hadron,1,,15,0
20486,C_Tbl_correct,L2_ch128:160,3,0,0.4465005099773407,neutral_hadron,149.88633728027344,0.0,,particle0,1,,15,0
20487,C_Tbl_correct,L2_ch128:160,1,0,10.293864250183105,muon,330.2943420410156,-1.0,,particle0_best_lepton,0,4,19,1
20487,C_Tbl_correct,L2_ch128:160,2,4,2.3889219760894775,muon,14.948827743530273,-1.0,,second_lepton,0,4,19,1
20487,C_Tbl_correct,L2_ch128:160,3,23,1.2553479671478271,charged_hadron,3.256237745285034,-1.0,,hadron_neighbor,0,4,19,1
20488,C_Tbl_correct,L2_ch128:160,1,0,4.97292423248291,muon,114.84968566894531,1.0,,particle0_best_lepton,0,,19,1
20488,C_Tbl_correct,L2_ch128:160,2,1,1.2100980281829834,charged_hadron,66.90687561035156,-1.0,,hardest_hadron,0,,19,1
20488,C_Tbl_correct,L2_ch128:160,3,12,1.1081886291503906,charged_hadron,6.959555149078369,1.0,,hadron_neighbor,0,,19,1
20489,C_Tbl_correct,L2_ch128:160,1,0,4.946350574493408,electron,267.3357238769531,1.0,,particle0_best_lepton,0,2,14,1
20489,C_Tbl_correct,L2_ch128:160,2,3,0.6742792129516602,photon,38.49784851074219,0.0,,photon_neighbor,0,2,14,1
20489,C_Tbl_correct,L2_ch128:160,3,1,0.6556775569915771,charged_hadron,40.295047760009766,1.0,,hardest_hadron,0,2,14,1
20490,C_Tbl_correct,L2_ch128:160,1,0,5.75769567489624,muon,222.58627319335938,1.0,,particle0_best_lepton,0,,19,1
20490,C_Tbl_correct,L2_ch128:160,2,34,1.3222557306289673,photon,0.9496799111366272,0.0,,photon_neighbor,0,,19,1
20490,C_Tbl_correct,L2_ch128:160,3,1,0.8393088579177856,charged_hadron,52.71913528442383,1.0,,hardest_hadron,0,,19,1
20491,C_Tbl_correct,L2_ch128:160,1,0,7.670339584350586,muon,564.8671875,-1.0,,particle0_best_lepton,0,,15,1
20491,C_Tbl_correct,L2_ch128:160,2,20,0.9184606075286865,charged_hadron,4.483021259307861,-1.0,,hadron_neighbor,0,,15,1
20491,C_Tbl_correct,L2_ch128:160,3,29,0.8970693349838257,photon,1.2118791341781616,0.0,,photon_neighbor,0,,15,1
20492,C_Tbl_correct,L2_ch128:160,1,0,9.639129638671875,muon,252.05963134765625,-1.0,,particle0_best_lepton,0,,74,1
20492,C_Tbl_correct,L2_ch128:160,2,1,1.3374650478363037,charged_hadron,34.672706604003906,1.0,,hardest_hadron,0,,74,1
20492,C_Tbl_correct,L2_ch128:160,3,52,1.2971699237823486,charged_hadron,2.705594301223755,1.0,,hadron_neighbor,0,,74,1
20493,C_Tbl_correct,L2_ch128:160,1,0,4.648444652557373,electron,186.51634216308594,1.0,,particle0_best_lepton,0,1,14,2
20493,C_Tbl_correct,L2_ch128:160,2,1,2.212339401245117,muon,169.77301025390625,-1.0,,second_lepton,0,1,14,2
20493,C_Tbl_correct,L2_ch128:160,3,8,1.450581669807434,photon,6.232746601104736,0.0,,photon_neighbor,0,1,14,2
20494,C_Tbl_correct,L2_ch128:160,1,0,7.565767765045166,muon,482.8270568847656,1.0,,particle0_best_lepton,0,,8,3
20494,C_Tbl_correct,L2_ch128:160,2,1,0.9746954441070557,photon,80.11673736572266,0.0,,photon_neighbor,0,,8,3
20494,C_Tbl_correct,L2_ch128:160,3,2,0.9419717788696289,photon,15.058201789855957,0.0,,photon_neighbor,0,,8,3
20495,C_Tbl_correct,L2_ch128:160,1,2,4.627599716186523,electron,87.17536926269531,1.0,,best_lepton,2,4,5,0
