particle_role,head_id,class_label,A_n,A_flow,B_n,B_flow,C_n,C_flow,B_minus_A,B_minus_C,trigger_score,loss_score,anomaly_score,diagnosis
hardest_hadron,L2_ch224:256,label_Hqql,16,4.946063904504824,5,3.188289793928914,80,10.267546656709241,-1.7577741105759097,-7.079256862780327,0.0,1.7577741105759097,12.443734435512095,source_evidence_loss_candidate
other_lepton,L2_ch128:160,label_Hqql,0,0.0,1,3.661099091644985,1,0.29189293224737867,3.661099091644985,3.3692061593976064,0.0,0.0,12.334997609735264,anomalous_third_topology_candidate
other_lepton,L2_ch224:256,label_Tbl,0,0.0,1,7.768386902256907,1,6.287539110003593,7.768386902256907,1.4808477922533143,3.1313436183043724,0.0,11.503798593576704,target_like_trigger_candidate
particle0,L2_ch0:32,label_Hqql,1,4.295103710204273,1,6.528846589958448,11,1.6343030373725127,2.2337428797541747,4.894543552585935,0.0,0.0,10.933151810235534,anomalous_third_topology_candidate
particle0,L2_ch128:160,label_Hqql,1,6.537758655529274,1,2.7146860269226636,7,0.26426725390215366,-3.82307262860661,2.45041877302051,0.0,3.82307262860661,9.368128939758504,source_evidence_loss_candidate
particle0,L2_ch32:64,label_Hqql,0,0.0,1,-4.021758187012097,8,-1.7465523013187552,-4.021758187012097,-2.2752058856933415,0.0,4.021758187012097,9.150327897925305,source_evidence_loss_candidate
best_lepton,L2_ch32:64,label_Hqql,1,0.13240755547548133,1,-2.8120697732964572,21,0.28129887466090236,-2.9444773287719386,-3.0933686479573597,0.0,2.9444773287719386,9.10835385344435,source_evidence_loss_candidate
hardest_hadron,L2_ch224:256,label_Tbl,16,4.832490139267745,5,2.3761283602889565,80,6.071935873790176,-2.4563617789787884,-3.6958075135012196,0.5230967776929407,0.0,9.078240318627028,anomalous_third_topology_candidate
photon_neighbor,L2_ch224:256,label_Hqql,16,5.096110727339494,3,3.473482360854206,51,8.925959805033925,-1.622628366485288,-5.452477444179719,0.0,1.622628366485288,8.847344568547216,source_evidence_loss_candidate
second_lepton,L2_ch160:192,label_Hqql,3,-0.051140511034276415,3,-1.3242180439830709,23,-8.15047798832183,-1.2730775329487944,6.8262599443387595,0.0,1.2730775329487944,8.690358169205963,source_evidence_loss_candidate
best_lepton,L2_ch0:32,label_Hqql,1,2.64220338000527,0,0.0,19,3.183720561005815,-2.64220338000527,-3.183720561005815,0.0,2.64220338000527,8.41203722728184,source_evidence_loss_candidate
hard_hadron,L1_ch32:48,label_Hqql,5,6.63374102344842,5,6.280470766717667,45,-15.830302177654112,-0.3532702567307524,22.110772944371778,0.0,0.3532702567307524,7.811078434573592,source_evidence_loss_candidate
