patch,layer,group,class_id,class_label,n,base_acc,patch_acc,acc_drop,pred_logit_drop
edge_channel_head_zero,0,ch32:40,0,label_QCD,128,0.7109375,0.6875,0.0234375,0.6226707100868225
edge_channel_head_zero,0,ch8:16,0,label_QCD,128,0.7109375,0.4296875,0.28125,0.6046746373176575
edge_channel_head_zero,1,ch32:48,0,label_QCD,128,0.7109375,0.6015625,0.109375,0.5853283405303955
edge_channel_head_zero,2,ch128:160,0,label_QCD,128,0.7109375,0.7265625,-0.015625,0.38581332564353943
edge_channel_head_zero,0,ch56:64,0,label_QCD,128,0.7109375,0.7734375,-0.0625,0.36917251348495483
edge_channel_head_zero,1,ch80:96,0,label_QCD,128,0.7109375,0.6953125,0.015625,-0.35415562987327576
edge_channel_head_zero,0,ch48:56,0,label_QCD,128,0.7109375,0.8359375,-0.125,0.3401630222797394
edge_channel_head_zero,1,ch64:80,0,label_QCD,128,0.7109375,0.703125,0.0078125,-0.30086106061935425
edge_channel_head_zero,2,ch96:128,0,label_QCD,128,0.7109375,0.71875,-0.0078125,0.29963263869285583
edge_channel_head_zero,1,ch96:112,0,label_QCD,128,0.7109375,0.6796875,0.03125,-0.25987619161605835
edge_channel_head_zero,1,ch0:16,0,label_QCD,128,0.7109375,0.734375,-0.0234375,0.2590954303741455
edge_channel_head_zero,2,ch0:32,0,label_QCD,128,0.7109375,0.71875,-0.0078125,0.21613943576812744
edge_channel_head_zero,2,ch192:224,0,label_QCD,128,0.7109375,0.75,-0.0390625,0.20002490282058716
edge_channel_head_zero,0,ch16:24,0,label_QCD,128,0.7109375,0.6015625,0.109375,0.17665080726146698
edge_channel_head_zero,0,ch0:8,0,label_QCD,128,0.7109375,0.5546875,0.15625,-0.12445424497127533
edge_channel_head_zero,2,ch160:192,0,label_QCD,128,0.7109375,0.75,-0.0390625,-0.1192278116941452
edge_channel_head_zero,1,ch48:64,0,label_QCD,128,0.7109375,0.7265625,-0.015625,-0.02253369614481926
edge_channel_head_zero,2,ch32:64,0,label_QCD,128,0.7109375,0.7421875,-0.03125,0.007564147934317589
edge_channel_head_zero,2,ch224:256,9,label_Tbl,128,0.9765625,0.9921875,-0.015625,4.4282989501953125
edge_channel_head_zero,1,ch16:32,9,label_Tbl,128,0.9765625,0.9921875,-0.015625,3.7032887935638428
edge_channel_head_zero,1,ch80:96,9,label_Tbl,128,0.9765625,0.890625,0.0859375,2.6214780807495117
edge_channel_head_zero,0,ch40:48,9,label_Tbl,128,0.9765625,0.984375,-0.0078125,2.459376573562622
edge_channel_head_zero,1,ch112:128,9,label_Tbl,128,0.9765625,0.9921875,-0.015625,2.339291572570801
edge_channel_head_zero,2,ch128:160,9,label_Tbl,128,0.9765625,0.9609375,0.015625,2.233008623123169
edge_channel_head_zero,0,ch8:16,9,label_Tbl,128,0.9765625,0.8515625,0.125,1.8419569730758667
edge_channel_head_zero,0,ch0:8,9,label_Tbl,128,0.9765625,0.78125,0.1953125,1.7715321779251099
edge_channel_head_zero,1,ch32:48,9,label_Tbl,128,0.9765625,0.9453125,0.03125,1.7313618659973145
edge_channel_head_zero,2,ch64:96,9,label_Tbl,128,0.9765625,0.984375,-0.0078125,1.5664620399475098
edge_channel_head_zero,0,ch48:56,9,label_Tbl,128,0.9765625,0.984375,-0.0078125,1.429774522781372
edge_channel_head_zero,2,ch0:32,9,label_Tbl,128,0.9765625,0.9921875,-0.015625,1.3996378183364868
edge_channel_head_zero,2,ch32:64,9,label_Tbl,128,0.9765625,0.96875,0.0078125,1.1651155948638916
edge_channel_head_zero,0,ch16:24,9,label_Tbl,128,0.9765625,0.8125,0.1640625,0.902370035648346
edge_channel_head_zero,1,ch96:112,9,label_Tbl,128,0.9765625,0.9921875,-0.015625,0.7176437377929688
edge_channel_head_zero,2,ch160:192,9,label_Tbl,128,0.9765625,0.9453125,0.03125,0.7037234306335449
edge_channel_head_zero,0,ch56:64,9,label_Tbl,128,0.9765625,0.984375,-0.0078125,0.3114458918571472
edge_channel_head_zero,1,ch48:64,9,label_Tbl,128,0.9765625,0.9609375,0.015625,0.270460307598114
edge_channel_head_zero,0,ch32:40,9,label_Tbl,128,0.9765625,0.96875,0.0078125,-0.1628364622592926
edge_channel_head_zero,1,ch64:80,9,label_Tbl,128,0.9765625,0.953125,0.0234375,-0.13363215327262878
edge_channel_head_zero,0,ch24:32,9,label_Tbl,128,0.9765625,0.9765625,0.0,0.12419195473194122
edge_channel_head_zero,2,ch192:224,9,label_Tbl,128,0.9765625,0.9921875,-0.015625,-0.09090959280729294
edge_channel_head_zero,2,ch96:128,9,label_Tbl,128,0.9765625,0.9765625,0.0,-0.08583725988864899
edge_channel_head_zero,1,ch0:16,9,label_Tbl,128,0.9765625,0.96875,0.0078125,-0.044381462037563324
edge_channel_head_zero,1,ch16:32,8,label_Tbqq,128,0.890625,0.984375,-0.09375,7.772457122802734
edge_channel_head_zero,2,ch224:256,8,label_Tbqq,128,0.890625,0.953125,-0.0625,3.417175054550171
edge_channel_head_zero,1,ch112:128,8,label_Tbqq,128,0.890625,0.9375,-0.046875,2.9787890911102295
edge_channel_head_zero,0,ch40:48,8,label_Tbqq,128,0.890625,0.9375,-0.046875,2.0267233848571777
edge_channel_head_zero,0,ch16:24,8,label_Tbqq,128,0.890625,0.6875,0.203125,1.9237117767333984
edge_channel_head_zero,0,ch48:56,8,label_Tbqq,128,0.890625,0.6796875,0.2109375,1.6226450204849243
edge_channel_head_zero,0,ch8:16,8,label_Tbqq,128,0.890625,0.8203125,0.0703125,1.3681557178497314
edge_channel_head_zero,0,ch24:32,8,label_Tbqq,128,0.890625,0.9453125,-0.0546875,1.110447883605957
edge_channel_head_zero,2,ch192:224,8,label_Tbqq,128,0.890625,0.8046875,0.0859375,1.0885810852050781
edge_channel_head_zero,1,ch48:64,8,label_Tbqq,128,0.890625,0.859375,0.03125,0.9472405314445496
edge_channel_head_zero,2,ch128:160,8,label_Tbqq,128,0.890625,0.8359375,0.0546875,0.8460890054702759
edge_channel_head_zero,1,ch96:112,8,label_Tbqq,128,0.890625,0.8828125,0.0078125,0.813356339931488
edge_channel_head_zero,1,ch32:48,8,label_Tbqq,128,0.890625,0.875,0.015625,0.6587883234024048
edge_channel_head_zero,2,ch160:192,8,label_Tbqq,128,0.890625,0.8046875,0.0859375,0.6109815835952759
edge_channel_head_zero,2,ch64:96,8,label_Tbqq,128,0.890625,0.859375,0.03125,0.5827665328979492
edge_channel_head_zero,2,ch0:32,8,label_Tbqq,128,0.890625,0.8671875,0.0234375,0.4767044186592102
edge_channel_head_zero,0,ch32:40,8,label_Tbqq,128,0.890625,0.8359375,0.0546875,0.4520236849784851
edge_channel_head_zero,0,ch0:8,8,label_Tbqq,128,0.890625,0.9375,-0.046875,0.44486308097839355
edge_channel_head_zero,1,ch0:16,8,label_Tbqq,128,0.890625,0.875,0.015625,0.44257497787475586
edge_channel_head_zero,0,ch56:64,8,label_Tbqq,128,0.890625,0.828125,0.0625,0.36649441719055176
edge_channel_head_zero,1,ch64:80,8,label_Tbqq,128,0.890625,0.8984375,-0.0078125,0.3387244939804077
edge_channel_head_zero,2,ch32:64,8,label_Tbqq,128,0.890625,0.890625,0.0,-0.05146441236138344
edge_channel_head_zero,2,ch96:128,8,label_Tbqq,128,0.890625,0.90625,-0.015625,0.02028447762131691
edge_channel_head_zero,1,ch80:96,8,label_Tbqq,128,0.890625,0.921875,-0.03125,-0.014911167323589325
edge_channel_head_zero,1,ch16:32,7,label_Wqq,128,0.71875,0.0625,0.65625,10.528704643249512
edge_channel_head_zero,2,ch224:256,7,label_Wqq,128,0.71875,0.4375,0.28125,6.441938400268555
edge_channel_head_zero,0,ch40:48,7,label_Wqq,128,0.71875,0.421875,0.296875,5.140106678009033
edge_channel_head_zero,0,ch24:32,7,label_Wqq,128,0.71875,0.09375,0.625,3.188365936279297
edge_channel_head_zero,1,ch112:128,7,label_Wqq,128,0.71875,0.359375,0.359375,2.636371374130249
edge_channel_head_zero,0,ch8:16,7,label_Wqq,128,0.71875,0.6484375,0.0703125,2.3870458602905273
edge_channel_head_zero,2,ch64:96,7,label_Wqq,128,0.71875,0.8046875,-0.0859375,1.4757883548736572
edge_channel_head_zero,0,ch16:24,7,label_Wqq,128,0.71875,0.7578125,-0.0390625,1.3524448871612549
edge_channel_head_zero,0,ch48:56,7,label_Wqq,128,0.71875,0.421875,0.296875,1.0084928274154663
edge_channel_head_zero,2,ch192:224,7,label_Wqq,128,0.71875,0.65625,0.0625,0.9555144309997559
edge_channel_head_zero,0,ch0:8,7,label_Wqq,128,0.71875,0.359375,0.359375,0.9320787191390991
edge_channel_head_zero,0,ch32:40,7,label_Wqq,128,0.71875,0.84375,-0.125,0.7649792432785034
edge_channel_head_zero,0,ch56:64,7,label_Wqq,128,0.71875,0.453125,0.265625,0.5829377174377441
edge_channel_head_zero,1,ch96:112,7,label_Wqq,128,0.71875,0.40625,0.3125,0.4480113983154297
edge_channel_head_zero,1,ch0:16,7,label_Wqq,128,0.71875,0.8046875,-0.0859375,0.35185959935188293
edge_channel_head_zero,2,ch96:128,7,label_Wqq,128,0.71875,0.7734375,-0.0546875,0.1953989416360855
edge_channel_head_zero,1,ch64:80,7,label_Wqq,128,0.71875,0.7734375,-0.0546875,-0.1726876050233841
edge_channel_head_zero,1,ch48:64,7,label_Wqq,128,0.71875,0.6875,0.03125,0.15730103850364685
edge_channel_head_zero,2,ch0:32,7,label_Wqq,128,0.71875,0.765625,-0.046875,0.14573241770267487
edge_channel_head_zero,2,ch128:160,7,label_Wqq,128,0.71875,0.8359375,-0.1171875,0.1274634748697281
